32,2,1,4096,7.181,0.724,0.101,2.34
4,2,1,4096,37.769,0.650,0.017,0.44
16,2,1,4096,11.152,0.650,0.058,1.50
64,2,1,4096,3.604,0.331,0.092,4.66
6,6,1,4096,26.186,0.271,0.010,0.64
24,2,4,4096,7.483,0.325,0.043,2.24
96,2,4,4096,2.858,0.729,0.255,5.87
8,8,1,4096,20.230,0.320,0.016,0.83
32,2,16,4096,5.919,0.545,0.092,2.84
128,2,16,4096,2.547,0.926,0.363,6.59
2,2,1,10000,384.108,5.344,0.014,0.26
8,2,4,10000,123.712,5.072,0.041,0.81
32,2,16,10000,38.982,1.008,0.026,2.57
4,4,1,10000,222.324,2.203,0.010,0.45
16,2,1,10000,64.980,2.086,0.032,1.54
64,2,1,10000,20.249,1.084,0.054,4.94
6,2,1,10000,155.337,1.620,0.010,0.64
24,6,4,10000,44.042,1.787,0.041,2.27
96,2,4,10000,13.518,0.767,0.057,7.40
8,8,1,10000,119.217,1.481,0.012,0.84
32,8,4,10000,33.420,1.663,0.050,2.99
128,4,16,10000,10.776,1.153,0.107,9.28
2,4,16,512,1.067,0.007,0.007,0.25
8,4,16,512,0.483,0.064,0.134,0.54
32,4,16,512,0.210,0.100,0.478,1.25
4,4,16,512,0.790,0.044,0.055,0.33
16,4,4,512,0.402,0.192,0.479,0.65
64,6,1,512,0.609,0.553,0.909,0.43
6,6,1,512,0.569,0.027,0.047,0.46
24,6,1,512,0.197,0.052,0.266,1.33
96,6,1,512,0.350,0.319,0.911,0.75
8,6,1,512,0.508,0.092,0.181,0.52
32,6,1,512,0.331,0.221,0.669,0.79
128,6,1,512,0.932,0.905,0.971,0.28
2,6,4,1024,4.206,0.067,0.016,0.25
8,6,4,1024,1.608,0.221,0.138,0.65
32,2,16,1024,0.805,0.345,0.429,1.30
4,6,16,1024,2.579,0.123,0.048,0.41
16,6,16,1024,1.036,0.183,0.176,1.01
64,6,16,1024,0.738,0.535,0.725,1.42
6,6,16,1024,1.850,0.079,0.042,0.57
24,6,4,1024,0.664,0.179,0.270,1.58
96,8,1,1024,0.313,0.186,0.594,3.35
8,8,1,1024,1.569,0.205,0.131,0.67
32,8,1,1024,0.665,0.274,0.413,1.58
128,8,1,1024,0.781,0.678,0.869,1.34
2,2,1,4096,64.056,0.170,0.003,0.26
8,2,4,4096,21.044,0.613,0.029,0.80
32,2,16,4096,7.083,0.657,0.093,2.37
4,4,1,4096,37.509,0.343,0.009,0.45
16,4,4,4096,11.493,0.594,0.052,1.46
64,4,16,4096,3.679,0.404,0.110,4.56
6,6,1,4096,26.507,0.593,0.022,0.63
24,6,4,4096,7.600,0.452,0.059,2.21
96,6,16,4096,2.545,0.419,0.165,6.59
8,8,1,4096,20.643,0.713,0.035,0.81
32,8,4,4096,5.990,0.580,0.097,2.80
128,8,16,4096,2.487,0.866,0.348,6.75
2,2,1,10000,381.206,2.439,0.006,0.26
8,2,4,10000,123.600,1.396,0.011,0.81
32,2,16,10000,39.152,1.138,0.029,2.55
4,4,1,10000,221.355,1.532,0.007,0.45
16,4,4,10000,66.186,1.310,0.020,1.51
64,4,16,10000,20.166,0.996,0.049,4.96
6,6,1,10000,154.613,1.045,0.007,0.65
24,6,4,10000,43.721,1.142,0.026,2.29
96,6,16,10000,13.517,0.733,0.054,7.40
8,8,1,10000,118.790,1.145,0.010,0.84
32,8,4,10000,33.286,1.445,0.043,3.00
128,8,16,10000,10.970,1.345,0.123,9.12
